company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
SDG Group;Data Analyst;3.9;25000;28000;26000;EUR;yearly;Barcelona
Glovo;Data Analyst;3.5;32000;44000;37000;EUR;yearly;Barcelona
Amazon;Data Analyst;3.6;28000;36000;28000;EUR;yearly;Barcelona
Revolut;Data Analyst;3.9;55000;65000;58000;EUR;yearly;Barcelona
Accenture;Data Analyst;3.8;28000;36000;33000;EUR;yearly;Barcelona
eDreams ODIGEO;Data Analyst;4.1;33000;44000;36000;EUR;yearly;Barcelona
TransPerfect;Data Analyst;3.1;20000;24000;23000;EUR;yearly;Barcelona
Vueling Airlines;Data Analyst;3.7;29000;34000;31000;EUR;yearly;Barcelona
Criteo;Data Analyst;4.1;42000;52000;48000;EUR;yearly;Barcelona
Sanofi;Data Analyst;4.2;36000;58000;53000;EUR;yearly;Barcelona
Scopely;Data Analyst;3.8;35000;47000;44000;EUR;yearly;Barcelona
CaixaBank;Data Analyst;3.8;31000;50000;42000;EUR;yearly;Barcelona
Clarivate;Data Analyst;3.6;40000;41000;40000;EUR;yearly;Barcelona
HolaLuz;Data Analyst;2.8;29000;46000;39000;EUR;yearly;Barcelona
Schneider Electric;Data Analyst;4.3;37000;63000;47000;EUR;yearly;Barcelona
Deloitte;Data Analyst;3.9;33000;39000;34000;EUR;yearly;Barcelona
TELUS Digital;Data Analyst;3.6;20000;28000;26000;EUR;yearly;Barcelona
ClearPeaks;Data Analyst;4.3;29000;34000;32000;EUR;yearly;Barcelona
Apple;Data Analyst;4.1;23000;29000;28000;EUR;yearly;Barcelona
Bayer;Data Analyst;3.9;40000;47000;46000;EUR;yearly;Barcelona
Volkswagen Group Services;Data Analyst;3.5;19000;38000;30000;EUR;yearly;Barcelona
knowmad mood;Data Analyst;4.1;31000;40000;33000;EUR;yearly;Barcelona
Freshly Cosmetics;Data Analyst;3.2;28000;33000;31000;EUR;yearly;Barcelona
Wallapop;Data Analyst;4.2;42000;52000;47000;EUR;yearly;Barcelona
Adevinta;Data Analyst;3.6;40000;60000;50000;EUR;yearly;Barcelona
Product Madness;Data Analyst;4.1;45000;48000;46000;EUR;yearly;Barcelona
Plexus Tech;Data Analyst;3.7;35000;35000;35000;EUR;yearly;Barcelona
AXA;Data Analyst;3.9;27000;31000;29000;EUR;yearly;Barcelona
Zurich Insurance;Data Analyst;4.3;39000;47000;43000;EUR;yearly;Barcelona
Devoteam;Data Analyst;3.8;38000;43000;40000;EUR;yearly;Barcelona
Proton, privacy by default;Data Analyst;4;52000;54000;53000;EUR;yearly;Barcelona
Locaria;Data Analyst;4.5;30000;39000;35000;EUR;yearly;Barcelona
MediaMarktSaturn;Data Analyst;3.4;33000;36000;35000;EUR;yearly;Barcelona
URBASER;Data Analyst;3.2;32000;32000;32000;EUR;yearly;Barcelona
NTT DATA;Data Analyst;3.8;27000;30000;29000;EUR;yearly;Barcelona
Management Intelligence Consulting;Data Analyst;-0.10000000149011612;30000;30000;30000;EUR;yearly;Barcelona
