company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
SDG Group;Data Analyst;3.9;25000;28000;26000;EUR;yearly;Madrid
Accenture;Data Analyst;3.8;26000;30000;29000;EUR;yearly;Madrid
Revolut;Data Analyst;3.9;45000;63000;56000;EUR;yearly;Madrid
Santander;Data Analyst;3.8;32000;42000;40000;EUR;yearly;Madrid
Minsait;Data Analyst;3.8;25000;30000;27000;EUR;yearly;Madrid
IQVIA;Data Analyst;3.8;20000;28000;25000;EUR;yearly;Madrid
NTT DATA;Data Analyst;3.8;21000;33000;29000;EUR;yearly;Madrid
Deloitte;Data Analyst;3.9;27000;35000;29000;EUR;yearly;Madrid
ALTEN;Data Analyst;3.2;22000;31000;27000;EUR;yearly;Madrid
Cabify;Data Analyst;3.8;34000;45000;40000;EUR;yearly;Madrid
Vodafone;Data Analyst;3.9;27000;44000;39000;EUR;yearly;Madrid
Job&Talent;Data Analyst;4;39000;50000;45000;EUR;yearly;Madrid
Making Science;Data Analyst;3.7;23000;35000;34000;EUR;yearly;Madrid
Telefónica;Data Analyst;4.1;41000;54000;45000;EUR;yearly;Madrid
CoverWallet;Data Analyst;3.6;40000;48000;43000;EUR;yearly;Madrid
Cognizant Technology Solutions;Data Analyst;3.7;33000;45000;40000;EUR;yearly;Madrid
Intrum;Data Analyst;2.9;30000;39000;33000;EUR;yearly;Madrid
Keepler;Data Analyst;4.8;36000;50000;45000;EUR;yearly;Madrid
Isdefe;Data Analyst;3.6;27000;32000;28000;EUR;yearly;Madrid
Merkle;Data Analyst;3.6;24000;35000;30000;EUR;yearly;Madrid
Ayesa;Data Analyst;3.4;25000;30000;26000;EUR;yearly;Madrid
Verisure;Data Analyst;3.3;37000;42000;39000;EUR;yearly;Madrid
IE University;Data Analyst;3.8;29000;48000;32000;EUR;yearly;Madrid
KPMG;Data Analyst;3.7;24000;26000;25000;EUR;yearly;Madrid
Amazon;Data Analyst;3.6;24000;45000;24000;EUR;yearly;Madrid
Allianz;Data Analyst;4;27000;45000;31000;EUR;yearly;Madrid
Straumann Group;Data Analyst;3.5;27000;58000;55000;EUR;yearly;Madrid
BBVA;Data Analyst;4.2;24000;42000;25000;EUR;yearly;Madrid
Pepper Financial Services Group;Data Analyst;3.1;37000;40000;39000;EUR;yearly;Madrid
EDP Renewables;Data Analyst;3.9;36000;37000;37000;EUR;yearly;Madrid
Cognodata Consulting;Data Analyst;3.7;25000;26000;26000;EUR;yearly;Madrid
ING;Data Analyst;4.4;40000;45000;42000;EUR;yearly;Madrid
Prime IT;Data Analyst;3.7;28000;30000;29000;EUR;yearly;Madrid
Ebury;Data Analyst;3.5;35000;45000;40000;EUR;yearly;Madrid
CGI;Data Analyst;3.8;27000;36000;31000;EUR;yearly;Madrid
Avatel Group;Data Analyst;2.9;20000;24000;22000;EUR;yearly;Madrid
BABEL;Data Analyst;3.6;24000;30000;27000;EUR;yearly;Madrid
Apple;Data Analyst;4.1;30000;36000;33000;EUR;yearly;Madrid
Securitas Direct;Data Analyst;3.3;40000;43000;42000;EUR;yearly;Madrid
Capgemini Engineering;Data Analyst;3.5;37000;37000;37000;EUR;yearly;Madrid
Insud Pharma;Data Analyst;3.2;33000;40000;36000;EUR;yearly;Madrid
IKEA;Data Analyst;3.8;58000;61000;59000;EUR;yearly;Madrid
Avanade;Data Analyst;3.8;26000;28000;27000;EUR;yearly;Madrid
Carrefour;Data Analyst;3.7;33000;38000;36000;EUR;yearly;Madrid
Generali;Data Analyst;3.7;30000;32000;31000;EUR;yearly;Madrid
Marketing & Bases De Datos Consultores;Data Analyst;4;23000;29000;26000;EUR;yearly;Madrid
