company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Glovo;Data Engineer;3.5;47000;64000;55000;EUR;yearly;Barcelona
Adevinta;Data Engineer;3.6;42000;60000;48000;EUR;yearly;Barcelona
Adevinta Spain;Data Engineer;4;44000;52000;48000;EUR;yearly;Barcelona
Vueling Airlines;Data Engineer;3.7;31000;40000;37000;EUR;yearly;Barcelona
BMAT;Data Engineer;4.3;30000;34000;32000;EUR;yearly;Barcelona
Accenture;Data Engineer;3.8;30000;41000;38000;EUR;yearly;Barcelona
SCRM;Data Engineer;4.3;47000;65000;56000;EUR;yearly;Barcelona
Minsait;Data Engineer;3.8;24000;33000;30000;EUR;yearly;Barcelona
NTT DATA;Data Engineer;3.8;26000;35000;33000;EUR;yearly;Barcelona
Zurich Insurance;Data Engineer;4.3;39000;59000;55000;EUR;yearly;Barcelona
SDG Group;Data Engineer;3.9;28000;35000;31000;EUR;yearly;Barcelona
SEAT:CODE;Data Engineer;3.3;51000;57000;55000;EUR;yearly;Barcelona
Allianz;Data Engineer;4;40000;54000;50000;EUR;yearly;Barcelona
eDreams ODIGEO;Data Engineer;4.1;42000;49000;44000;EUR;yearly;Barcelona
Deloitte;Data Engineer;3.9;27000;54000;35000;EUR;yearly;Barcelona
everis;Data Engineer;3.6;29000;41000;34000;EUR;yearly;Barcelona
Vista;Data Engineer;3.8;55000;63000;55000;EUR;yearly;Barcelona
Adsmurai;Data Engineer;3.9;28000;41000;40000;EUR;yearly;Barcelona
Gartner;Data Engineer;4;55000;66000;60000;EUR;yearly;Barcelona
Bayer;Data Engineer;3.9;38000;69000;50000;EUR;yearly;Barcelona
Aily;Data Engineer;3.2;49000;111000;68000;EUR;yearly;Barcelona
Semrush;Data Engineer;3.7;56000;75000;60000;EUR;yearly;Barcelona
New Work SE;Data Engineer;3.8;40000;62000;50000;EUR;yearly;Barcelona
Capgemini;Data Engineer;3.8;31000;47000;41000;EUR;yearly;Barcelona
B Digital Solutions;Data Engineer;-0.10000000149011612;31000;36000;33000;EUR;yearly;Barcelona
Schneider Electric;Data Engineer;4.3;42000;68000;53000;EUR;yearly;Barcelona
Stuart;Data Engineer;3;51000;60000;57000;EUR;yearly;Barcelona
