company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Bluetab;Data Engineer;4.1;26000;39000;34000;EUR;yearly;Madrid
Accenture;Data Engineer;3.8;30000;45000;36000;EUR;yearly;Madrid
Minsait;Data Engineer;3.8;27000;40000;32000;EUR;yearly;Madrid
BBVA Next Technologies;Data Engineer;4;33000;43000;41000;EUR;yearly;Madrid
Stratio;Data Engineer;3.1;31000;47000;36000;EUR;yearly;Madrid
Capgemini;Data Engineer;3.8;21000;32000;27000;EUR;yearly;Madrid
Santander;Data Engineer;3.8;32000;47000;40000;EUR;yearly;Madrid
OpenSistemas;Data Engineer;4.3;31000;45000;37000;EUR;yearly;Madrid
Telefónica;Data Engineer;4.1;32000;44000;38000;EUR;yearly;Madrid
NTT DATA;Data Engineer;3.8;23000;31000;27000;EUR;yearly;Madrid
The Cocktail;Data Engineer;3.7;22000;30000;26000;EUR;yearly;Madrid
Idealista.com;Data Engineer;3.8;32000;39000;33000;EUR;yearly;Madrid
SDG Group;Data Engineer;3.9;31000;39000;35000;EUR;yearly;Madrid
Hiberus Tecnología;Data Engineer;3.7;24000;40000;30000;EUR;yearly;Madrid
Keepler;Data Engineer;4.8;30000;36000;34000;EUR;yearly;Madrid
Next Digital Hub;Data Engineer;4.3;28000;35000;31000;EUR;yearly;Madrid
SCALIAN SPAIN;Data Engineer;3.6;34000;46000;41000;EUR;yearly;Madrid
Making Science;Data Engineer;3.7;24000;36000;32000;EUR;yearly;Madrid
VASS;Data Engineer;4;27000;47000;37000;EUR;yearly;Madrid
Cepsa;Data Engineer;3.7;34000;67000;49000;EUR;yearly;Madrid
Jakala Iberia;Data Engineer;3.6;22000;40000;31000;EUR;yearly;Madrid
Devoteam;Data Engineer;3.8;32000;42000;34000;EUR;yearly;Madrid
BBVA;Data Engineer;4.2;30000;43000;39000;EUR;yearly;Madrid
Altostratus Cloud Consulting;Data Engineer;3.5;24000;31000;30000;EUR;yearly;Madrid
Vodafone;Data Engineer;3.9;34000;43000;35000;EUR;yearly;Madrid
ALTEN;Data Engineer;3.2;29000;40000;31000;EUR;yearly;Madrid
Frontiers;Data Engineer;2.7;46000;55000;50000;EUR;yearly;Madrid
knowmad mood;Data Engineer;4.1;37000;45000;43000;EUR;yearly;Madrid
TrustYou;Data Engineer;3.5;40000;55000;44000;EUR;yearly;Madrid
Clarity AI;Data Engineer;4.4;33000;46000;36000;EUR;yearly;Madrid
Cognizant Technology Solutions;Data Engineer;3.7;31000;44000;32000;EUR;yearly;Madrid
Redslim;Data Engineer;4.5;35000;43000;37000;EUR;yearly;Madrid
KPMG;Data Engineer;3.7;36000;44000;40000;EUR;yearly;Madrid
sngular;Data Engineer;4.2;27000;40000;32000;EUR;yearly;Madrid
GMV;Data Engineer;4.2;24000;30000;29000;EUR;yearly;Madrid
UST;Data Engineer;3.9;31000;46000;36000;EUR;yearly;Madrid
VML;Data Engineer;3.5;30000;40000;33000;EUR;yearly;Madrid
everis;Data Engineer;3.6;19000;32000;28000;EUR;yearly;Madrid
Merkle;Data Engineer;3.6;23000;35000;30000;EUR;yearly;Madrid
Novaquality Consulting;Data Engineer;3.9;30000;35000;30000;EUR;yearly;Madrid
Indra;Data Engineer;3.7;27000;38000;30000;EUR;yearly;Madrid
Inetum;Data Engineer;3.3;24000;44000;35000;EUR;yearly;Madrid
Mercedes-Benz Group Services Madrid;Data Engineer;3.7;32000;51000;44000;EUR;yearly;Madrid
Mática;Data Engineer;3.5;24000;40000;28000;EUR;yearly;Madrid
Optimissa;Data Engineer;3.1;24000;43000;35000;EUR;yearly;Madrid
Plain Concepts;Data Engineer;3.9;45000;50000;48000;EUR;yearly;Madrid
El Corte Inglés;Data Engineer;3.5;26000;47000;39000;EUR;yearly;Madrid
Openbank;Data Engineer;3.9;34000;61000;52000;EUR;yearly;Madrid
Sopra Steria;Data Engineer;3.6;27000;42000;40000;EUR;yearly;Madrid
Ria Money Transfer;Data Engineer;3.7;39000;50000;49000;EUR;yearly;Madrid
Procter & Gamble;Data Engineer;4.1;40000;53000;46000;EUR;yearly;Madrid
Scalian;Data Engineer;3.6;34000;38000;36000;EUR;yearly;Madrid
GFT Technologies;Data Engineer;4.3;25000;44000;41000;EUR;yearly;Madrid
Paradigma Digital;Data Engineer;4.3;27000;49000;36000;EUR;yearly;Madrid
Ebury;Data Engineer;3.5;31000;38000;35000;EUR;yearly;Madrid
Capitole Consulting;Data Engineer;4.3;39000;48000;43000;EUR;yearly;Madrid
IIC;Data Engineer;3.9;28000;48000;35000;EUR;yearly;Madrid
Logicalis;Data Engineer;3.9;25000;35000;30000;EUR;yearly;Madrid
El Arte de Medir;Data Engineer;4.5;26000;36000;31000;EUR;yearly;Madrid
TMC;Data Engineer;4.1;26000;49000;43000;EUR;yearly;Madrid
BASF;Data Engineer;4.1;58000;63000;61000;EUR;yearly;Madrid
ING;Data Engineer;4.4;50000;59000;56000;EUR;yearly;Madrid
Fintonic;Data Engineer;3.5;34000;50000;36000;EUR;yearly;Madrid
Everli;Data Engineer;3.4;30;30;30;EUR;hourly;Madrid
Havas Media;Data Engineer;3.6;24000;39000;30000;EUR;yearly;Madrid
Verne Technology Group;Data Engineer;4;27000;37000;33000;EUR;yearly;Madrid
Glovo;Data Engineer;3.5;35000;70000;61000;EUR;yearly;Madrid
Deloitte;Data Engineer;3.9;29000;45000;35000;EUR;yearly;Madrid
Jungheinrich;Data Engineer;3.9;46000;58000;46000;EUR;yearly;Madrid
Lingokids;Data Engineer;4.4;58000;66000;63000;EUR;yearly;Madrid
HipoGes Iberia;Data Engineer;3.9;35000;45000;40000;EUR;yearly;Madrid
Cabify;Data Engineer;3.8;42000;45000;42000;EUR;yearly;Madrid
Keedio;Data Engineer;3.9;25000;27000;26000;EUR;yearly;Madrid
Teradata;Data Engineer;3.7;45000;57000;45000;EUR;yearly;Madrid
Nextail;Data Engineer;3.9;43000;52000;45000;EUR;yearly;Madrid
Kairós;Data Engineer;4.3;21000;34000;28000;EUR;yearly;Madrid
