company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Glovo;Data Scientist;3.5;50000;65000;54000;EUR;yearly;Barcelona
Accenture;Data Scientist;3.8;30000;40000;37000;EUR;yearly;Barcelona
Banco Sabadell;Data Scientist;3.8;33000;47000;40000;EUR;yearly;Barcelona
CaixaBank;Data Scientist;3.8;34000;47000;43000;EUR;yearly;Barcelona
eDreams ODIGEO;Data Scientist;4.1;48000;58000;52000;EUR;yearly;Barcelona
HP Inc.;Data Scientist;4.1;32000;49000;40000;EUR;yearly;Barcelona
Eurecat;Data Scientist;3.5;27000;38000;35000;EUR;yearly;Barcelona
Aplicaciones en Informática Avanzada;Data Scientist;2.9;30000;45000;36000;EUR;yearly;Barcelona
Socialpoint;Data Scientist;4.1;40000;57000;49000;EUR;yearly;Barcelona
Novartis;Data Scientist;4;38000;44000;41000;EUR;yearly;Barcelona
BaseTIS;Data Scientist;3.5;22000;29000;26000;EUR;yearly;Barcelona
NTT DATA;Data Scientist;3.8;27000;37000;35000;EUR;yearly;Barcelona
Mango;Data Scientist;3.5;32000;52000;39000;EUR;yearly;Barcelona
Zurich Insurance;Data Scientist;4.3;40000;51000;44000;EUR;yearly;Barcelona
Boston Consulting Group;Data Scientist;4.2;43000;56000;55000;EUR;yearly;Barcelona
King;Data Scientist;3.4;42000;55000;52000;EUR;yearly;Barcelona
Vueling Airlines;Data Scientist;3.7;43000;50000;45000;EUR;yearly;Barcelona
Adevinta;Data Scientist;3.6;36000;80000;52000;EUR;yearly;Barcelona
Allianz;Data Scientist;4;40000;47000;43000;EUR;yearly;Barcelona
Adevinta Spain;Data Scientist;4;28000;65000;55000;EUR;yearly;Barcelona
Activision Blizzard;Data Scientist;3.7;40000;58000;53000;EUR;yearly;Barcelona
Accenture;Data Scientist;3.8;738;2000;878;EUR;monthly;Barcelona
Nestlé;Data Scientist;4.1;48000;65000;55000;EUR;yearly;Barcelona
Criteo;Data Scientist;4.1;42000;61000;61000;EUR;yearly;Barcelona
Sanofi;Data Scientist;4.2;49000;72000;66000;EUR;yearly;Barcelona
Aily;Data Scientist;3.2;45000;59000;46000;EUR;yearly;Barcelona
Amazon;Data Scientist;3.6;31000;48000;35000;EUR;yearly;Barcelona
Minsait;Data Scientist;3.8;22000;31000;28000;EUR;yearly;Barcelona
PepsiCo;Data Scientist;3.9;41000;65000;50000;EUR;yearly;Barcelona
everis;Data Scientist;3.6;22000;30000;26000;EUR;yearly;Barcelona
Telefónica;Data Scientist;4.1;31000;58000;45000;EUR;yearly;Barcelona
SDG Group;Data Scientist;3.9;21000;33000;28000;EUR;yearly;Barcelona
Grupo Planeta;Data Scientist;4.4;35000;36000;35000;EUR;yearly;Barcelona
Universitat Politecnica de Catalunya;Data Scientist;4.1;26000;44000;32000;EUR;yearly;Barcelona
Typeform;Data Scientist;3.4;49000;86000;63000;EUR;yearly;Barcelona
Siemens Energy;Data Scientist;4.2;41000;50000;48000;EUR;yearly;Barcelona
Semrush;Data Scientist;3.7;59000;77000;62000;EUR;yearly;Barcelona
Schibsted;Data Scientist;4.2;40000;64000;49000;EUR;yearly;Barcelona
Factor Energia;Data Scientist;2.5;21000;35000;31000;EUR;yearly;Barcelona
Kernel Analytics;Data Scientist;4;27000;35000;29000;EUR;yearly;Barcelona
