company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Delivery Hero;Data Scientist;3.3;70000;87000;80000;EUR;yearly;Berlin
Zalando;Data Scientist;3.6;60000;76000;70000;EUR;yearly;Berlin
Klarna;Data Scientist;2.9;60000;68000;65000;EUR;yearly;Berlin
Bayer;Data Scientist;3.9;77000;94000;84000;EUR;yearly;Berlin
AUTO1 Group;Data Scientist;3.1;57000;65000;62000;EUR;yearly;Berlin
Deutsche Bank;Data Scientist;3.8;64000;75000;67000;EUR;yearly;Berlin
HelloFresh;Data Scientist;3.4;57000;75000;68000;EUR;yearly;Berlin
Amazon;Data Scientist;3.6;60000;98000;80000;EUR;yearly;Berlin
DAIN Studios;Data Scientist;3.9;52000;72000;62000;EUR;yearly;Berlin
Babbel;Data Scientist;3.5;53000;60000;55000;EUR;yearly;Berlin
Diconium;Data Scientist;4.1;48000;64000;50000;EUR;yearly;Berlin
Technische Universität Berlin;Data Scientist;4;50000;60000;52000;EUR;yearly;Berlin
SAP;Data Scientist;4.2;56000;79000;66000;EUR;yearly;Berlin
TD Reply;Data Scientist;3.8;55000;60000;55000;EUR;yearly;Berlin
Siemens;Data Scientist;4.1;64000;95000;70000;EUR;yearly;Berlin
Wayfair;Data Scientist;2.9;73000;92000;81000;EUR;yearly;Berlin
Fit Analytics;Data Scientist;4;54000;92000;61000;EUR;yearly;Berlin
KPMG;Data Scientist;3.7;49000;70000;62000;EUR;yearly;Berlin
Wooga;Data Scientist;4.5;50000;74000;52000;EUR;yearly;Berlin
BASF;Data Scientist;4.1;43000;56000;54000;EUR;yearly;Berlin
Supper & Supper;Data Scientist;4;51000;65000;60000;EUR;yearly;Berlin
N26;Data Scientist;3.5;51000;75000;72000;EUR;yearly;Berlin
Marley Spoon;Data Scientist;3.5;61000;70000;68000;EUR;yearly;Berlin
Charité;Data Scientist;3.8;44000;65000;64000;EUR;yearly;Berlin
Automation Hero;Data Scientist;3.5;65000;68000;65000;EUR;yearly;Berlin
Bayes Esports Solutions;Data Scientist;3.7;54000;56000;55000;EUR;yearly;Berlin
S Rating und Risikosysteme;Data Scientist;3.7;53000;67000;57000;EUR;yearly;Berlin
FREENOW;Data Scientist;3.7;52000;70000;65000;EUR;yearly;Berlin
Ada Health;Data Scientist;2.9;62000;78000;65000;EUR;yearly;Berlin
IAV;Data Scientist;4.2;59000;85000;60000;EUR;yearly;Berlin
SHARE NOW;Data Scientist;3.5;59000;69000;65000;EUR;yearly;Berlin
OLX Group;Data Scientist;3.9;74000;90000;85000;EUR;yearly;Berlin
McKinsey & Company;Data Scientist;4.1;60000;113000;80000;EUR;yearly;Berlin
Teraki;Data Scientist;2.5;55000;68000;58000;EUR;yearly;Berlin
Bolt;Data Scientist;3.9;82000;125000;91000;EUR;yearly;Berlin
Deutsche Telekom;Data Scientist;4;74000;98000;76000;EUR;yearly;Berlin
momox;Data Scientist;3.9;52000;62000;52000;EUR;yearly;Berlin
TIER;Data Scientist;3.3;59000;65000;63000;EUR;yearly;Berlin
Axel Springer;Data Scientist;3.7;64000;74000;68000;EUR;yearly;Berlin
Fraugster;Data Scientist;4.4;59000;63000;60000;EUR;yearly;Berlin
Deloitte;Data Scientist;3.9;52000;58000;57000;EUR;yearly;Berlin
Haensel AMS;Data Scientist;2.8;35000;100000;43000;EUR;yearly;Berlin
King;Data Scientist;3.4;55000;68000;65000;EUR;yearly;Berlin
Shopify;Data Scientist;3.3;84000;95000;86000;EUR;yearly;Berlin
Grover;Data Scientist;2.9;43000;70000;50000;EUR;yearly;Berlin
Centogene;Data Scientist;2.9;60000;79000;71000;EUR;yearly;Berlin
MYTOYS GROUP;Data Scientist;3.4;50000;63000;51000;EUR;yearly;Berlin
Ströer SE & Co. KGaA;Data Scientist;3.9;53000;60000;55000;EUR;yearly;Berlin
Google;Data Scientist;4.3;85000;100000;100000;EUR;yearly;Berlin
Trade Republic;Data Scientist;2.6;50000;74000;61000;EUR;yearly;Berlin
SumUp;Data Scientist;3.5;72000;80000;80000;EUR;yearly;Berlin
4flow;Data Scientist;4.6;56000;68000;60000;EUR;yearly;Berlin
IBM;Data Scientist;4;45000;80000;52000;EUR;yearly;Berlin
Searchmetrics;Data Scientist;3.6;58000;65000;63000;EUR;yearly;Berlin
Smart Pricer;Data Scientist;4.5;50000;55000;55000;EUR;yearly;Berlin
Storymachine;Data Scientist;3;44000;55000;45000;EUR;yearly;Berlin
Lieferando;Data Scientist;3.5;55000;75000;55000;EUR;yearly;Berlin
JustWatch;Data Scientist;4.1;60000;82000;73000;EUR;yearly;Berlin
Snap;Data Scientist;3.5;62000;219000;85000;EUR;yearly;Berlin
The Stepstone Group;Data Scientist;3;60000;79000;62000;EUR;yearly;Berlin
home24 SE;Data Scientist;2;60000;65000;62000;EUR;yearly;Berlin
Bonial International;Data Scientist;4.3;69000;75000;73000;EUR;yearly;Berlin
Beekin;Data Scientist;4.3;35000;36000;35000;EUR;yearly;Berlin
Talentwunder;Data Scientist;3;55000;65000;60000;EUR;yearly;Berlin
Revolut;Data Scientist;3.9;73000;101000;86000;EUR;yearly;Berlin
Architrave;Data Scientist;4.4;50000;70000;70000;EUR;yearly;Berlin
Sinfosy;Data Scientist;-0.10000000149011612;55000;55000;55000;EUR;yearly;Berlin
The unbelievable Machine Company;Data Scientist;3.7;53000;74000;70000;EUR;yearly;Berlin
Verve;Data Scientist;3.4;45000;70000;70000;EUR;yearly;Berlin
Accenture;Data Scientist;3.8;43000;68000;50000;EUR;yearly;Berlin
fromAtoB;Data Scientist;4.5;65000;80000;65000;EUR;yearly;Berlin
Ratepay;Data Scientist;3.8;60000;78000;65000;EUR;yearly;Berlin
MEDWING;Data Scientist;3.4;45000;70000;70000;EUR;yearly;Berlin
HomeToGo;Data Scientist;3.8;55000;60000;58000;EUR;yearly;Berlin
Lidl;Data Scientist;3.4;66000;82000;72000;EUR;yearly;Berlin
KPMG;Data Scientist;3.7;52000;67000;60000;EUR;yearly;Berlin
Deutsche Kreditbank;Data Scientist;3.8;61000;79000;65000;EUR;yearly;Berlin
SoundCloud;Data Scientist;3.9;64000;84000;65000;EUR;yearly;Berlin
Kayzen;Data Scientist;4;70000;82000;70000;EUR;yearly;Berlin
Toll Collect;Data Scientist;3.4;50000;50000;50000;EUR;yearly;Berlin
Spotify;Data Scientist;4;95000;157000;95000;EUR;yearly;Berlin
Oviva;Data Scientist;3.5;53000;150000;65000;EUR;yearly;Berlin
MBition;Data Scientist;3.8;51000;59000;55000;EUR;yearly;Berlin
New Yorker;Data Scientist;3;60000;96000;75000;EUR;yearly;Berlin
Tesla;Data Scientist;3.5;60000;94000;91000;EUR;yearly;Berlin
Europace;Data Scientist;3.3;54000;57000;57000;EUR;yearly;Berlin
GetYourGuide;Data Scientist;3.9;72000;105000;88000;EUR;yearly;Berlin
ixto;Data Scientist;4.5;6;15;10;EUR;hourly;Berlin
Flaconi;Data Scientist;3.6;75000;85000;80000;EUR;yearly;Berlin
INFOMOTION;Data Scientist;4.4;5000;5000;5000;EUR;monthly;Berlin
Elucidate;Data Scientist;3.6;1000;3000;2000;EUR;monthly;Berlin
Watergenics;Data Scientist;2.3;35000;45000;40000;EUR;yearly;Berlin
Lindera;Data Scientist;3;47000;50000;49000;EUR;yearly;Berlin
wefox;Data Scientist;3.1;50000;60000;55000;EUR;yearly;Berlin
Adjust;Data Scientist;3.6;65000;68000;67000;EUR;yearly;Berlin
CHECK24;Data Scientist;3.8;62000;70000;66000;EUR;yearly;Berlin
Freelance;Data Scientist;4.2;52000;75000;64000;EUR;yearly;Berlin
Criteo;Data Scientist;4.1;72000;74000;73000;EUR;yearly;Berlin
BMW Group;Data Scientist;4.1;65000;100000;83000;EUR;yearly;Berlin
Cardisio;Data Scientist;3.2;60000;60000;60000;EUR;yearly;Berlin
SmartRecruiters;Data Scientist;3.3;5000;6000;6000;EUR;monthly;Berlin
Fraunhofer-Gesellschaft;Data Scientist;4.1;8;16;12;EUR;hourly;Berlin
BuildingMinds;Data Scientist;3.5;64000;65000;65000;EUR;yearly;Berlin
ImmoScout24;Data Scientist;3.9;74000;76000;75000;EUR;yearly;Berlin
Amazon Web Services;Data Scientist;3.7;78000;100000;89000;EUR;yearly;Berlin
CodeCheck AG;Data Scientist;5;40000;60000;50000;EUR;yearly;Berlin
Deutsche Bahn;Data Scientist;3.8;52000;140000;96000;EUR;yearly;Berlin
apheris AI;Data Scientist;5;63000;64000;64000;EUR;yearly;Berlin
project44;Data Scientist;3.9;77000;77000;77000;EUR;yearly;Berlin
Aignostics;Data Scientist;5;70000;80000;75000;EUR;yearly;Berlin
