company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
BBVA;Data Scientist;4.2;33000;48000;41000;EUR;yearly;Madrid
Santander;Data Scientist;3.8;30000;40000;36000;EUR;yearly;Madrid
Accenture;Data Scientist;3.8;30000;46000;35000;EUR;yearly;Madrid
Minsait;Data Scientist;3.8;30000;38000;33000;EUR;yearly;Madrid
Telefónica;Data Scientist;4.1;32000;48000;40000;EUR;yearly;Madrid
EY;Data Scientist;3.7;26000;30000;28000;EUR;yearly;Madrid
Capgemini Engineering;Data Scientist;3.5;31000;40000;35000;EUR;yearly;Madrid
Vodafone;Data Scientist;3.9;33000;50000;42000;EUR;yearly;Madrid
Management Solutions;Data Scientist;3.8;25000;30000;27000;EUR;yearly;Madrid
Capgemini;Data Scientist;3.8;23000;37000;29000;EUR;yearly;Madrid
IIC;Data Scientist;3.9;31000;39000;34000;EUR;yearly;Madrid
Indra;Data Scientist;3.7;29000;38000;33000;EUR;yearly;Madrid
Orange;Data Scientist;4;29000;42000;37000;EUR;yearly;Madrid
Deloitte;Data Scientist;3.9;25000;32000;30000;EUR;yearly;Madrid
Bankinter;Data Scientist;4;30000;44000;42000;EUR;yearly;Madrid
McKinsey & Company;Data Scientist;4.1;35000;45000;39000;EUR;yearly;Madrid
IBM;Data Scientist;4;35000;56000;50000;EUR;yearly;Madrid
ETS Asset Management Factory;Data Scientist;3.4;25000;36000;31000;EUR;yearly;Madrid
Boston Consulting Group;Data Scientist;4.2;37000;52000;50000;EUR;yearly;Madrid
Airbus;Data Scientist;4.2;45000;50000;47000;EUR;yearly;Madrid
NTT DATA;Data Scientist;3.8;27000;31000;30000;EUR;yearly;Madrid
Quental Technologies;Data Scientist;3.2;25000;32000;30000;EUR;yearly;Madrid
Endesa S.A.;Data Scientist;4;43000;52000;50000;EUR;yearly;Madrid
TomTom;Data Scientist;4;38000;48000;43000;EUR;yearly;Madrid
Cabify;Data Scientist;3.8;40000;45000;40000;EUR;yearly;Madrid
KPMG;Data Scientist;3.7;24000;35000;25000;EUR;yearly;Madrid
everis;Data Scientist;3.6;22000;29000;25000;EUR;yearly;Madrid
Innova-Tsn;Data Scientist;3.8;28000;32000;30000;EUR;yearly;Madrid
Iberdrola;Data Scientist;3.8;25000;51000;44000;EUR;yearly;Madrid
PwC;Data Scientist;3.8;29000;36000;30000;EUR;yearly;Madrid
Intelygenz;Data Scientist;3.9;32000;40000;40000;EUR;yearly;Madrid
Strategy Big Data;Data Scientist;3.1;40000;52000;45000;EUR;yearly;Madrid
Openbank;Data Scientist;3.9;45000;66000;50000;EUR;yearly;Madrid
AEROENGY;Data Scientist;4.6;24000;48000;27000;EUR;yearly;Madrid
Telefonica Tech;Data Scientist;3.9;38000;52000;43000;EUR;yearly;Madrid
Zooplus;Data Scientist;3.2;41000;51000;46000;EUR;yearly;Madrid
Mapfre;Data Scientist;3.9;28000;52000;33000;EUR;yearly;Madrid
El Corte Inglés;Data Scientist;3.5;26000;54000;35000;EUR;yearly;Madrid
Banco Sabadell;Data Scientist;3.8;40000;53000;44000;EUR;yearly;Madrid
Reale Seguros;Data Scientist;4.2;35000;52000;40000;EUR;yearly;Madrid
Keepler;Data Scientist;4.8;40000;44000;40000;EUR;yearly;Madrid
Cognizant Technology Solutions;Data Scientist;3.7;29000;34000;32000;EUR;yearly;Madrid
Olympic Channel Services;Data Scientist;3.9;37000;41000;40000;EUR;yearly;Madrid
VASS;Data Scientist;4;26000;34000;26000;EUR;yearly;Madrid
The Cocktail;Data Scientist;3.7;27000;43000;30000;EUR;yearly;Madrid
Stratio;Data Scientist;3.1;25000;47000;29000;EUR;yearly;Madrid
Making Science;Data Scientist;3.7;36000;51000;40000;EUR;yearly;Madrid
SCALIAN SPAIN;Data Scientist;3.6;20000;34000;26000;EUR;yearly;Madrid
PiperLab;Data Scientist;5;29000;30000;30000;EUR;yearly;Madrid
Sopra Steria;Data Scientist;3.6;37000;43000;40000;EUR;yearly;Madrid
Repsol;Data Scientist;4;40000;49000;46000;EUR;yearly;Madrid
Smartme Analytics;Data Scientist;4.7;16000;22000;20000;EUR;yearly;Madrid
Seedtag;Data Scientist;3.9;36000;55000;48000;EUR;yearly;Madrid
Equifax;Data Scientist;3.5;40000;51000;46000;EUR;yearly;Madrid
Google;Data Scientist;4.3;25000;60000;50000;EUR;yearly;Madrid
CaixaBank;Data Scientist;3.8;27000;58000;45000;EUR;yearly;Madrid
Iberia;Data Scientist;3.6;32000;53000;48000;EUR;yearly;Madrid
GMV;Data Scientist;4.2;28000;33000;31000;EUR;yearly;Madrid
Clarity AI;Data Scientist;4.4;35000;43000;40000;EUR;yearly;Madrid
QUANT AI Lab;Data Scientist;3.3;34000;45000;36000;EUR;yearly;Madrid
Kairós;Data Scientist;4.3;28000;44000;33000;EUR;yearly;Madrid
ThetaRay;Data Scientist;4.3;47000;53000;51000;EUR;yearly;Madrid
Ineco;Data Scientist;3.9;26000;34000;29000;EUR;yearly;Madrid
Acciona;Data Scientist;4;500;800;650;EUR;monthly;Madrid
Nommon;Data Scientist;3.2;35000;43000;38000;EUR;yearly;Madrid
ALTEN;Data Scientist;3.2;31000;36000;34000;EUR;yearly;Madrid
Ryanair;Data Scientist;3.3;46000;58000;49000;EUR;yearly;Madrid
Mercedes-Benz Group Services Madrid;Data Scientist;3.7;34000;45000;38000;EUR;yearly;Madrid
Datio;Data Scientist;3.8;39000;47000;46000;EUR;yearly;Madrid
Securitas Direct;Data Scientist;3.3;33000;48000;41000;EUR;yearly;Madrid
Menhir Financial;Data Scientist;4.6;32000;39000;35000;EUR;yearly;Madrid
Ericsson-Worldwide;Data Scientist;4;35000;44000;38000;EUR;yearly;Madrid
Atos;Data Scientist;3.5;28000;46000;38000;EUR;yearly;Madrid
Hiberus Tecnología;Data Scientist;3.7;26000;45000;38000;EUR;yearly;Madrid
Bdeo;Data Scientist;4.2;26000;40000;31000;EUR;yearly;Madrid
Expert Timing Systems;Data Scientist;3.9;25000;34000;30000;EUR;yearly;Madrid
Taiger;Data Scientist;2.6;27000;43000;34000;EUR;yearly;Madrid
Synergic Partners;Data Scientist;2.6;26000;47000;38000;EUR;yearly;Madrid
Amazon;Data Scientist;3.6;43000;74000;60000;EUR;yearly;Madrid
T-Systems;Data Scientist;3.7;30000;53000;30000;EUR;yearly;Madrid
Axactor;Data Scientist;2.5;35000;45000;38000;EUR;yearly;Madrid
Tinámica;Data Scientist;3.9;25000;32000;28000;EUR;yearly;Madrid
UST;Data Scientist;3.9;23000;39000;34000;EUR;yearly;Madrid
Bosonit;Data Scientist;3.4;19000;32000;22000;EUR;yearly;Madrid
TMC;Data Scientist;4.1;33000;39000;35000;EUR;yearly;Madrid
OpenSistemas;Data Scientist;4.3;32000;55000;38000;EUR;yearly;Madrid
Decide Soluciones;Data Scientist;4.4;35000;44000;40000;EUR;yearly;Madrid
Nextail;Data Scientist;3.9;49000;65000;49000;EUR;yearly;Madrid
IQVIA;Data Scientist;3.8;35000;50000;37000;EUR;yearly;Madrid
Turing Challenge;Data Scientist;4.7;35000;46000;45000;EUR;yearly;Madrid
Ayesa;Data Scientist;3.4;32000;42000;42000;EUR;yearly;Madrid
Zurich Insurance;Data Scientist;4.3;37000;54000;40000;EUR;yearly;Madrid
NEDGIA;Data Scientist;4.1;30000;34000;30000;EUR;yearly;Madrid
Paradigma Digital;Data Scientist;4.3;42000;49000;47000;EUR;yearly;Madrid
Mercedes-Benz Group;Data Scientist;4.1;40000;45000;42000;EUR;yearly;Madrid
Savana;Data Scientist;3.9;35000;50000;40000;EUR;yearly;Madrid
Revolut;Data Scientist;3.9;60000;103000;68000;EUR;yearly;Madrid
Wise Athena;Data Scientist;4.5;27000;48000;40000;EUR;yearly;Madrid
Plain Concepts;Data Scientist;3.9;30000;43000;40000;EUR;yearly;Madrid
Universidad Carlos III de Madrid;Data Scientist;4;18000;39000;35000;EUR;yearly;Madrid
Universidad Politécnica de Madrid;Data Scientist;3.9;200;1000;500;EUR;monthly;Madrid
Atmira;Data Scientist;3.5;35000;45000;36000;EUR;yearly;Madrid
BIP;Data Scientist;3.9;25000;55000;31000;EUR;yearly;Madrid
Prima Assicurazioni;Data Scientist;4.3;38000;50000;45000;EUR;yearly;Madrid
Experis;Data Scientist;3.5;24000;30000;28000;EUR;yearly;Madrid
SDG Group;Data Scientist;3.9;22000;35000;28000;EUR;yearly;Madrid
Adecco;Data Scientist;3.6;30000;39000;30000;EUR;yearly;Madrid
Unlimiteck;Data Scientist;3.3;25000;33000;28000;EUR;yearly;Madrid
Microsoft;Data Scientist;4.2;24000;61000;55000;EUR;yearly;Madrid
Bluetab;Data Scientist;4.1;24000;49000;32000;EUR;yearly;Madrid
Grupo Solutio;Data Scientist;2.4;18000;28000;22000;EUR;yearly;Madrid
Mutua Madrileña;Data Scientist;3.8;30000;45000;30000;EUR;yearly;Madrid
Fever;Data Scientist;3.6;34000;52000;38000;EUR;yearly;Madrid
Shift Technology;Data Scientist;3.8;35000;47000;42000;EUR;yearly;Madrid
Fintonic;Data Scientist;3.5;25000;45000;36000;EUR;yearly;Madrid
Intrum;Data Scientist;2.9;39000;52000;43000;EUR;yearly;Madrid
ING;Data Scientist;4.4;36000;70000;48000;EUR;yearly;Madrid
Universidad de Granada;Data Scientist;4.2;1000;2000;2000;EUR;monthly;Madrid
Amadeus;Data Scientist;4.1;12000;45000;40000;EUR;yearly;Madrid
Talgo;Data Scientist;3.6;33000;43000;43000;EUR;yearly;Madrid
BBVA AI Factory;Data Scientist;3.4;30000;40000;40000;EUR;yearly;Madrid
Roche;Data Scientist;4.2;30000;53000;42000;EUR;yearly;Madrid
